Unnamed: 0,Province or State,City,Latitude,Longitude,Postal code,Education,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Income_Class,CustomerTenure,Active_Client
65,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Doctor,18375.0,Married,Star,2021-04-17,2021-12-31,3954.34,2021 Promotion,Non-Zero Income,258,Active
66,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,College,0.0,Married,Star,2015-09-04,2021-12-31,3958.0,Standard,Zero Income,2310,Active
67,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,College,0.0,Single,Star,2015-08-27,2021-12-31,3961.59,2021 Promotion,Zero Income,2318,Active
68,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,88701.0,Married,Star,2016-07-22,2021-12-31,3963.39,Standard,Non-Zero Income,1988,Active
69,Ontario,London,42.984924,-81.245277,M5B 3E4,Bachelor,38096.0,Divorced,Star,2021-04-04,2021-12-31,3963.4,2021 Promotion,Non-Zero Income,271,Active
70,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Doctor,23474.0,Divorced,Star,2015-05-27,2021-12-31,3964.15,Standard,Non-Zero Income,2410,Active
71,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,High School or Below,14616.0,Married,Star,2019-02-13,2021-12-31,3964.53,Standard,Non-Zero Income,1052,Active
72,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,60817.0,Single,Star,2021-09-21,2019-05-21,3964.73,Standard,Non-Zero Income,-854,Inactive
73,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Bachelor,72439.0,Married,Star,2021-03-18,2021-12-31,3966.13,2021 Promotion,Non-Zero Income,288,Active
74,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,72439.0,Married,Star,2015-11-03,2021-12-31,3966.13,Standard,Non-Zero Income,2250,Active
75,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,College,0.0,Divorced,Star,2016-05-03,2021-12-31,3974.86,Standard,Zero Income,2068,Active
76,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,College,0.0,Divorced,Star,2020-10-23,2021-12-31,3974.86,Standard,Zero Income,434,Active
77,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,39101.0,Married,Star,2021-07-17,2019-03-17,3978.67,Standard,Non-Zero Income,-853,Inactive
78,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,96413.0,Married,Star,2020-05-15,2021-12-31,3979.72,Standard,Non-Zero Income,595,Active
79,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,98333.0,Married,Star,2016-03-26,2021-12-31,3980.42,Standard,Non-Zero Income,2106,Active
80,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Master,17220.0,Married,Star,2016-01-14,2021-12-31,3985.32,Standard,Non-Zero Income,2178,Active
81,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Master,17220.0,Married,Star,2016-04-30,2021-12-31,3985.32,Standard,Non-Zero Income,2071,Active
82,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Bachelor,75007.0,Divorced,Star,2019-06-12,2021-12-31,3985.55,Standard,Non-Zero Income,933,Active
83,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Bachelor,54964.0,Married,Star,2016-04-17,2018-02-03,3991.73,Standard,Non-Zero Income,657,Inactive
84,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Married,Star,2016-08-19,2017-04-19,3992.58,Standard,Zero Income,243,Inactive
85,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,College,0.0,Single,Star,2021-09-25,2021-12-31,3995.36,Standard,Zero Income,97,Active
86,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,46210.0,Married,Star,2020-04-03,2020-12-03,3996.77,Standard,Non-Zero Income,244,Inactive
87,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,College,0.0,Single,Star,2021-08-04,2021-12-31,3997.48,Standard,Zero Income,149,Active
88,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Master,19782.0,Divorced,Star,2020-07-03,2021-12-31,4001.52,Standard,Non-Zero Income,546,Active
89,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,28987.0,Married,Star,2018-03-21,2021-12-31,4005.72,Standard,Non-Zero Income,1381,Active
90,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Doctor,15413.0,Married,Star,2016-04-24,2021-12-31,4013.85,Standard,Non-Zero Income,2077,Active
91,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,56586.0,Married,Star,2016-03-05,2021-12-31,4013.95,Standard,Non-Zero Income,2127,Active
92,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,93284.0,Married,Star,2020-08-20,2021-12-31,4013.96,Standard,Non-Zero Income,498,Active
93,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,37384.0,Married,Star,2018-12-11,2021-12-31,4014.45,Standard,Non-Zero Income,1116,Active
94,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,37384.0,Married,Star,2017-05-17,2021-12-31,4014.45,Standard,Non-Zero Income,1689,Active
95,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,College,0.0,Married,Star,2018-06-16,2019-07-23,4015.21,Standard,Zero Income,402,Inactive
96,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,80055.0,Married,Star,2021-02-17,2021-12-31,4015.34,2021 Promotion,Non-Zero Income,317,Active
97,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,High School or Below,10074.0,Married,Star,2019-11-22,2021-12-31,4016.13,Standard,Non-Zero Income,770,Active
98,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,College,0.0,Single,Star,2018-04-16,2018-12-16,4016.54,Standard,Zero Income,244,Inactive
99,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,College,0.0,Divorced,Star,2016-04-07,2021-12-31,4019.38,Standard,Zero Income,2094,Active
100,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,College,0.0,Divorced,Star,2017-07-06,2021-12-31,4019.38,Standard,Zero Income,1639,Active
101,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,41833.0,Married,Star,2019-05-08,2021-12-31,4023.81,Standard,Non-Zero Income,968,Active
102,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,41833.0,Married,Star,2018-03-13,2021-12-31,4023.81,Standard,Non-Zero Income,1389,Active
103,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,College,0.0,Married,Star,2020-09-02,2021-12-31,4025.1,Standard,Zero Income,485,Active
104,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,21359.0,Married,Star,2017-02-12,2021-12-31,4035.68,Standard,Non-Zero Income,1783,Active
105,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Married,Star,2020-01-25,2021-12-31,4035.77,Standard,Zero Income,706,Active
106,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,90760.0,Married,Star,2018-11-05,2021-12-31,4037.5,Standard,Non-Zero Income,1152,Active
107,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,High School or Below,21586.0,Married,Star,2018-07-14,2021-12-31,4037.55,Standard,Non-Zero Income,1266,Active
108,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Doctor,13330.0,Single,Star,2016-03-20,2021-12-31,4046.94,Standard,Non-Zero Income,2112,Active
109,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Doctor,13330.0,Single,Star,2019-09-27,2020-05-27,4046.94,Standard,Non-Zero Income,243,Inactive
110,British Columbia,Kelowna,49.887951,-119.49601,V09 2E9,Bachelor,92801.0,Married,Star,2020-05-21,2021-12-31,4048.16,Standard,Non-Zero Income,589,Active
111,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,44661.0,Married,Star,2016-05-12,2021-12-31,4053.37,Standard,Non-Zero Income,2059,Active
112,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Doctor,11621.0,Divorced,Star,2019-06-06,2021-12-31,4059.57,Standard,Non-Zero Income,939,Active
113,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,College,0.0,Married,Star,2021-04-24,2021-12-24,4064.11,2021 Promotion,Zero Income,244,Inactive
114,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,26599.0,Married,Star,2016-09-25,2021-12-31,4064.18,Standard,Non-Zero Income,1923,Active
115,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Married,Star,2020-02-07,2021-12-31,4068.09,Standard,Zero Income,693,Active
116,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,37435.0,Single,Star,2017-07-06,2021-12-31,4070.05,Standard,Non-Zero Income,1639,Active
117,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,96443.0,Single,Star,2020-09-05,2021-12-31,4072.85,Standard,Non-Zero Income,482,Active
118,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,29549.0,Divorced,Star,2021-02-18,2021-12-31,4076.63,2021 Promotion,Non-Zero Income,316,Active
119,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,College,0.0,Married,Star,2020-06-03,2021-12-31,4079.13,Standard,Zero Income,576,Active
120,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Doctor,13483.0,Married,Star,2017-07-13,2021-12-31,4083.56,Standard,Non-Zero Income,1632,Active
121,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Doctor,13483.0,Married,Star,2021-08-16,2021-12-31,4083.56,Standard,Non-Zero Income,137,Active
122,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Bachelor,24123.0,Married,Star,2018-02-20,2021-06-06,4087.51,Standard,Non-Zero Income,1202,Inactive
124,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,60759.0,Single,Star,2015-06-24,2021-12-31,4089.46,Standard,Non-Zero Income,2382,Active
125,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,38884.0,Married,Star,2018-06-09,2021-11-18,4090.75,Standard,Non-Zero Income,1258,Inactive
126,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,32180.0,Married,Star,2020-09-15,2021-12-31,4095.2,Standard,Non-Zero Income,472,Active
127,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,High School or Below,20079.0,Single,Star,2019-06-21,2021-12-31,4097.37,Standard,Non-Zero Income,924,Active
128,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,High School or Below,20079.0,Single,Star,2016-08-18,2017-04-18,4097.37,Standard,Non-Zero Income,243,Inactive
129,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,51193.0,Married,Star,2020-10-30,2021-06-30,4100.47,Standard,Non-Zero Income,243,Inactive
130,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Single,Star,2016-11-26,2021-12-31,4101.94,Standard,Zero Income,1861,Active
131,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,82427.0,Married,Star,2021-01-16,2021-12-31,4103.85,Standard,Non-Zero Income,349,Active
132,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Bachelor,39492.0,Married,Star,2021-03-12,2021-12-31,4105.58,2021 Promotion,Non-Zero Income,294,Active
133,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,College,0.0,Single,Star,2020-06-27,2021-12-31,4108.26,Standard,Zero Income,552,Active
134,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,College,0.0,Single,Star,2015-08-21,2021-12-31,4109.31,Standard,Zero Income,2324,Active
135,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,86657.0,Married,Star,2015-08-31,2021-12-31,4109.79,Standard,Non-Zero Income,2314,Active
136,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,31842.0,Single,Star,2018-07-24,2021-12-31,4110.62,Standard,Non-Zero Income,1256,Active
137,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,32210.0,Divorced,Star,2018-09-02,2021-12-31,4111.2,Standard,Non-Zero Income,1216,Active
138,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,65085.0,Married,Star,2020-05-14,2021-12-31,4111.89,Standard,Non-Zero Income,596,Active
139,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Bachelor,65085.0,Married,Star,2018-03-17,2021-12-31,4111.89,Standard,Non-Zero Income,1385,Active
140,Ontario,London,42.984924,-81.245277,M5B 3E4,Doctor,25030.0,Married,Star,2018-09-12,2019-05-12,4112.84,Standard,Non-Zero Income,242,Inactive
142,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,69379.0,Single,Star,2016-08-28,2021-12-31,4118.59,Standard,Non-Zero Income,1951,Active
143,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,69379.0,Single,Star,2020-04-22,2021-12-31,4118.59,Standard,Non-Zero Income,618,Active
144,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,69379.0,Single,Star,2019-12-16,2021-12-31,4118.59,Standard,Non-Zero Income,746,Active
145,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Single,Star,2015-12-09,2021-12-31,4121.25,Standard,Zero Income,2214,Active
146,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,75272.0,Married,Star,2015-09-19,2021-12-31,4122.57,Standard,Non-Zero Income,2295,Active
147,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,High School or Below,24732.0,Married,Star,2016-03-02,2021-12-31,4122.96,Standard,Non-Zero Income,2130,Active
148,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,34080.0,Married,Star,2017-04-04,2021-12-31,4126.61,Standard,Non-Zero Income,1732,Active
149,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Single,Star,2021-04-13,2021-12-31,4132.59,2021 Promotion,Zero Income,262,Active
150,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,35945.0,Divorced,Star,2018-07-25,2021-12-31,4139.9,Standard,Non-Zero Income,1255,Active
151,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,48263.0,Married,Star,2018-10-10,2021-12-31,4142.56,Standard,Non-Zero Income,1178,Active
152,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,64478.0,Married,Star,2015-04-03,2021-12-31,4144.87,Standard,Non-Zero Income,2464,Active
153,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,College,0.0,Divorced,Star,2016-07-07,2021-12-31,4145.02,Standard,Zero Income,2003,Active
154,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,College,0.0,Single,Star,2015-05-07,2021-12-31,4152.65,Standard,Zero Income,2430,Active
155,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Married,Star,2019-02-10,2019-10-10,4157.7,Standard,Zero Income,242,Inactive
156,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,96263.0,Married,Star,2016-12-25,2021-10-22,4160.02,Standard,Non-Zero Income,1762,Inactive
157,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,55897.0,Married,Star,2018-09-13,2021-12-31,4165.17,Standard,Non-Zero Income,1205,Active
158,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Bachelor,58299.0,Married,Star,2018-12-26,2021-12-31,4165.25,Standard,Non-Zero Income,1101,Active
159,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,High School or Below,17161.0,Married,Star,2015-07-02,2021-12-31,4165.35,Standard,Non-Zero Income,2374,Active
160,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,College,0.0,Single,Star,2015-05-22,2021-12-31,4165.99,Standard,Zero Income,2415,Active
162,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,College,0.0,Married,Star,2017-04-20,2021-12-31,4167.09,Standard,Zero Income,1716,Active
163,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,56901.0,Married,Star,2016-01-13,2021-12-31,4167.42,Standard,Non-Zero Income,2179,Active
164,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Bachelor,35457.0,Single,Star,2015-09-25,2021-12-31,4169.36,Standard,Non-Zero Income,2289,Active
