Loyalty#,Province or State,City,Latitude,Longitude,Postal code,Education,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Income_Class,CustomerTenure,Active_Client
611765,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,79628.0,Single,Star,2021-01-28,2021-12-31,3867.97,Standard,Non-Zero Income,337,Active
988178,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Single,Star,2016-10-13,2021-12-31,3871.07,Standard,Zero Income,1905,Active
286114,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,College,0.0,Single,Star,2019-11-29,2021-12-31,3872.22,Standard,Zero Income,763,Active
205785,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,Master,28142.0,Married,Star,2019-08-25,2021-12-31,3873.65,Standard,Non-Zero Income,859,Active
735304,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Master,28142.0,Married,Star,2019-12-06,2021-12-31,3873.65,Standard,Non-Zero Income,756,Active
438936,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,84981.0,Married,Star,2016-10-30,2021-12-31,3878.77,Standard,Non-Zero Income,1888,Active
243713,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,College,0.0,Married,Star,2021-02-09,2021-12-31,3883.4,2021 Promotion,Zero Income,325,Active
354730,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,College,0.0,Married,Star,2017-10-23,2021-01-02,3885.46,Standard,Zero Income,1167,Inactive
413741,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,College,0.0,Married,Star,2018-07-30,2021-12-31,3885.46,Standard,Zero Income,1250,Active
552965,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Married,Star,2021-11-18,2021-12-31,3885.46,Standard,Zero Income,43,Active
642313,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,College,0.0,Married,Star,2019-03-22,2021-12-31,3885.46,Standard,Zero Income,1015,Active
263080,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,College,0.0,Single,Star,2017-05-21,2021-12-31,3886.5,Standard,Zero Income,1685,Active
109767,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,78108.0,Single,Star,2019-05-21,2021-12-31,3886.65,Standard,Non-Zero Income,955,Active
217754,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,96335.0,Single,Star,2018-06-20,2021-12-31,3887.32,Standard,Non-Zero Income,1290,Active
157005,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,91182.0,Married,Star,2019-10-31,2021-12-31,3890.87,Standard,Non-Zero Income,792,Active
557752,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Bachelor,91182.0,Married,Star,2020-10-09,2021-12-31,3890.87,Standard,Non-Zero Income,448,Active
608758,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,43578.0,Married,Star,2016-07-15,2021-12-31,3890.96,Standard,Non-Zero Income,1995,Active
599341,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,31409.0,Married,Star,2018-11-22,2021-12-31,3891.54,Standard,Non-Zero Income,1135,Active
333502,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Married,Star,2017-03-04,2021-12-31,3891.58,Standard,Zero Income,1763,Active
201574,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,26605.0,Married,Star,2018-04-06,2018-12-06,3893.31,Standard,Non-Zero Income,244,Inactive
403361,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,52361.0,Single,Star,2020-10-24,2021-12-31,3895.03,Standard,Non-Zero Income,433,Active
543918,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,High School or Below,10853.0,Married,Star,2015-11-19,2021-12-31,3896.57,Standard,Non-Zero Income,2234,Active
806030,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Bachelor,60068.0,Married,Star,2021-05-03,2021-12-31,3903.47,Standard,Non-Zero Income,242,Active
119200,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,51833.0,Divorced,Star,2020-05-08,2021-12-31,3903.8,Standard,Non-Zero Income,602,Active
175967,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,60230.0,Married,Star,2021-02-15,2021-12-31,3906.67,2021 Promotion,Non-Zero Income,319,Active
238119,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,60230.0,Married,Star,2016-05-19,2021-12-31,3906.67,Standard,Non-Zero Income,2052,Active
730388,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,College,0.0,Single,Star,2015-05-02,2021-12-31,3907.03,Standard,Zero Income,2435,Active
834891,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,30821.0,Married,Star,2020-03-08,2020-04-18,3911.12,Standard,Non-Zero Income,41,Inactive
127400,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Single,Star,2017-06-26,2021-12-31,3914.72,Standard,Zero Income,1649,Active
324557,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,College,0.0,Single,Star,2016-02-24,2021-12-31,3914.72,Standard,Zero Income,2137,Active
742002,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,College,0.0,Single,Star,2019-05-15,2021-12-31,3915.8,Standard,Zero Income,961,Active
536567,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Bachelor,66676.0,Married,Star,2019-05-12,2021-12-31,3919.37,Standard,Non-Zero Income,964,Active
704835,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,66676.0,Married,Star,2019-09-17,2021-12-31,3919.37,Standard,Non-Zero Income,836,Active
733338,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,66676.0,Married,Star,2019-06-03,2020-02-03,3919.37,Standard,Non-Zero Income,245,Inactive
758635,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,66676.0,Married,Star,2021-06-20,2021-12-31,3919.37,Standard,Non-Zero Income,194,Active
823048,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,66676.0,Married,Star,2021-05-09,2021-12-31,3919.37,Standard,Non-Zero Income,236,Active
612905,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,College,0.0,Married,Star,2018-02-28,2021-12-31,3920.51,Standard,Zero Income,1402,Active
679908,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Bachelor,62445.0,Married,Star,2018-08-15,2021-12-31,3921.02,Standard,Non-Zero Income,1234,Active
704150,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,Bachelor,62445.0,Married,Star,2017-10-27,2021-12-31,3921.02,Standard,Non-Zero Income,1526,Active
869743,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Bachelor,56480.0,Single,Star,2019-11-10,2020-07-10,3924.42,Standard,Non-Zero Income,243,Inactive
596179,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Bachelor,25927.0,Single,Star,2017-03-28,2021-12-31,3933.81,Standard,Non-Zero Income,1739,Active
370450,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,High School or Below,20920.0,Married,Star,2015-11-02,2021-12-31,3934.1,Standard,Non-Zero Income,2251,Active
501030,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,84229.0,Married,Star,2020-03-25,2021-12-31,3934.71,Standard,Non-Zero Income,646,Active
878633,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Doctor,19245.0,Married,Star,2016-12-02,2021-12-31,3936.79,Standard,Non-Zero Income,1855,Active
285938,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Bachelor,60021.0,Married,Star,2017-09-03,2021-12-31,3939.01,Standard,Non-Zero Income,1580,Active
588237,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,60021.0,Married,Star,2016-11-25,2021-12-31,3939.01,Standard,Non-Zero Income,1862,Active
645280,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,60021.0,Married,Star,2015-12-15,2021-12-31,3939.01,Standard,Non-Zero Income,2208,Active
864324,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,60021.0,Married,Star,2021-06-03,2021-12-31,3939.01,Standard,Non-Zero Income,211,Active
124678,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Doctor,18375.0,Married,Star,2016-06-13,2021-12-31,3954.34,Standard,Non-Zero Income,2027,Active
186015,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Doctor,18375.0,Married,Star,2018-09-05,2021-12-31,3954.34,Standard,Non-Zero Income,1213,Active
461108,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Doctor,18375.0,Married,Star,2021-10-15,2021-12-31,3954.34,Standard,Non-Zero Income,77,Active
589580,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Doctor,18375.0,Married,Star,2018-08-27,2021-12-31,3954.34,Standard,Non-Zero Income,1222,Active
623688,Ontario,London,42.984924,-81.245277,M5B 3E4,Doctor,18375.0,Married,Star,2019-05-07,2021-12-31,3954.34,Standard,Non-Zero Income,969,Active
751616,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Doctor,18375.0,Married,Star,2021-04-17,2021-12-31,3954.34,2021 Promotion,Non-Zero Income,258,Active
256147,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,College,0.0,Married,Star,2015-09-04,2021-12-31,3958.0,Standard,Zero Income,2310,Active
329382,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,College,0.0,Single,Star,2015-08-27,2021-12-31,3961.59,2021 Promotion,Zero Income,2318,Active
140392,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,88701.0,Married,Star,2016-07-22,2021-12-31,3963.39,Standard,Non-Zero Income,1988,Active
541008,Ontario,London,42.984924,-81.245277,M5B 3E4,Bachelor,38096.0,Divorced,Star,2021-04-04,2021-12-31,3963.4,2021 Promotion,Non-Zero Income,271,Active
230908,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Doctor,23474.0,Divorced,Star,2015-05-27,2021-12-31,3964.15,Standard,Non-Zero Income,2410,Active
972581,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,High School or Below,14616.0,Married,Star,2019-02-13,2021-12-31,3964.53,Standard,Non-Zero Income,1052,Active
357549,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,60817.0,Single,Star,2021-09-21,2019-05-21,3964.73,Standard,Non-Zero Income,-854,Inactive
157729,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Bachelor,72439.0,Married,Star,2021-03-18,2021-12-31,3966.13,2021 Promotion,Non-Zero Income,288,Active
910875,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,72439.0,Married,Star,2015-11-03,2021-12-31,3966.13,Standard,Non-Zero Income,2250,Active
501704,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,College,0.0,Divorced,Star,2016-05-03,2021-12-31,3974.86,Standard,Zero Income,2068,Active
529098,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,College,0.0,Divorced,Star,2020-10-23,2021-12-31,3974.86,Standard,Zero Income,434,Active
265297,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,39101.0,Married,Star,2021-07-17,2019-03-17,3978.67,Standard,Non-Zero Income,-853,Inactive
567875,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,96413.0,Married,Star,2020-05-15,2021-12-31,3979.72,Standard,Non-Zero Income,595,Active
688524,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,98333.0,Married,Star,2016-03-26,2021-12-31,3980.42,Standard,Non-Zero Income,2106,Active
269070,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Master,17220.0,Married,Star,2016-01-14,2021-12-31,3985.32,Standard,Non-Zero Income,2178,Active
387705,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Master,17220.0,Married,Star,2016-04-30,2021-12-31,3985.32,Standard,Non-Zero Income,2071,Active
923293,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Bachelor,75007.0,Divorced,Star,2019-06-12,2021-12-31,3985.55,Standard,Non-Zero Income,933,Active
283314,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Bachelor,54964.0,Married,Star,2016-04-17,2018-02-03,3991.73,Standard,Non-Zero Income,657,Inactive
322102,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Married,Star,2016-08-19,2017-04-19,3992.58,Standard,Zero Income,243,Inactive
789157,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,College,0.0,Single,Star,2021-09-25,2021-12-31,3995.36,Standard,Zero Income,97,Active
654748,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,46210.0,Married,Star,2020-04-03,2020-12-03,3996.77,Standard,Non-Zero Income,244,Inactive
984713,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,College,0.0,Single,Star,2021-08-04,2021-12-31,3997.48,Standard,Zero Income,149,Active
114835,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Master,19782.0,Divorced,Star,2020-07-03,2021-12-31,4001.52,Standard,Non-Zero Income,546,Active
328936,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,28987.0,Married,Star,2018-03-21,2021-12-31,4005.72,Standard,Non-Zero Income,1381,Active
845864,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Doctor,15413.0,Married,Star,2016-04-24,2021-12-31,4013.85,Standard,Non-Zero Income,2077,Active
645265,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,56586.0,Married,Star,2016-03-05,2021-12-31,4013.95,Standard,Non-Zero Income,2127,Active
223587,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,93284.0,Married,Star,2020-08-20,2021-12-31,4013.96,Standard,Non-Zero Income,498,Active
158560,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,37384.0,Married,Star,2018-12-11,2021-12-31,4014.45,Standard,Non-Zero Income,1116,Active
417584,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,37384.0,Married,Star,2017-05-17,2021-12-31,4014.45,Standard,Non-Zero Income,1689,Active
566033,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,College,0.0,Married,Star,2018-06-16,2019-07-23,4015.21,Standard,Zero Income,402,Inactive
957912,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,80055.0,Married,Star,2021-02-17,2021-12-31,4015.34,2021 Promotion,Non-Zero Income,317,Active
425854,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,High School or Below,10074.0,Married,Star,2019-11-22,2021-12-31,4016.13,Standard,Non-Zero Income,770,Active
174896,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,College,0.0,Single,Star,2018-04-16,2018-12-16,4016.54,Standard,Zero Income,244,Inactive
695855,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,College,0.0,Divorced,Star,2016-04-07,2021-12-31,4019.38,Standard,Zero Income,2094,Active
699511,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,College,0.0,Divorced,Star,2017-07-06,2021-12-31,4019.38,Standard,Zero Income,1639,Active
377322,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,41833.0,Married,Star,2019-05-08,2021-12-31,4023.81,Standard,Non-Zero Income,968,Active
511053,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,41833.0,Married,Star,2018-03-13,2021-12-31,4023.81,Standard,Non-Zero Income,1389,Active
890753,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,College,0.0,Married,Star,2020-09-02,2021-12-31,4025.1,Standard,Zero Income,485,Active
796670,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,21359.0,Married,Star,2017-02-12,2021-12-31,4035.68,Standard,Non-Zero Income,1783,Active
556136,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Married,Star,2020-01-25,2021-12-31,4035.77,Standard,Zero Income,706,Active
513081,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,90760.0,Married,Star,2018-11-05,2021-12-31,4037.5,Standard,Non-Zero Income,1152,Active
930718,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,High School or Below,21586.0,Married,Star,2018-07-14,2021-12-31,4037.55,Standard,Non-Zero Income,1266,Active
235872,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Doctor,13330.0,Single,Star,2016-03-20,2021-12-31,4046.94,Standard,Non-Zero Income,2112,Active
881142,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Doctor,13330.0,Single,Star,2019-09-27,2020-05-27,4046.94,Standard,Non-Zero Income,243,Inactive
295147,British Columbia,Kelowna,49.887951,-119.49601,V09 2E9,Bachelor,92801.0,Married,Star,2020-05-21,2021-12-31,4048.16,Standard,Non-Zero Income,589,Active
306110,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,44661.0,Married,Star,2016-05-12,2021-12-31,4053.37,Standard,Non-Zero Income,2059,Active
295217,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Doctor,11621.0,Divorced,Star,2019-06-06,2021-12-31,4059.57,Standard,Non-Zero Income,939,Active
711363,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,College,0.0,Married,Star,2021-04-24,2021-12-24,4064.11,2021 Promotion,Zero Income,244,Inactive
591731,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,26599.0,Married,Star,2016-09-25,2021-12-31,4064.18,Standard,Non-Zero Income,1923,Active
326905,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Married,Star,2020-02-07,2021-12-31,4068.09,Standard,Zero Income,693,Active
375511,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,37435.0,Single,Star,2017-07-06,2021-12-31,4070.05,Standard,Non-Zero Income,1639,Active
485283,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,96443.0,Single,Star,2020-09-05,2021-12-31,4072.85,Standard,Non-Zero Income,482,Active
760158,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,29549.0,Divorced,Star,2021-02-18,2021-12-31,4076.63,2021 Promotion,Non-Zero Income,316,Active
797685,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,College,0.0,Married,Star,2020-06-03,2021-12-31,4079.13,Standard,Zero Income,576,Active
216467,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Doctor,13483.0,Married,Star,2017-07-13,2021-12-31,4083.56,Standard,Non-Zero Income,1632,Active
958839,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Doctor,13483.0,Married,Star,2021-08-16,2021-12-31,4083.56,Standard,Non-Zero Income,137,Active
539673,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Bachelor,24123.0,Married,Star,2018-02-20,2021-06-06,4087.51,Standard,Non-Zero Income,1202,Inactive
484718,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,60759.0,Single,Star,2015-06-24,2021-12-31,4089.46,Standard,Non-Zero Income,2382,Active
528492,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,38884.0,Married,Star,2018-06-09,2021-11-18,4090.75,Standard,Non-Zero Income,1258,Inactive
995091,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,32180.0,Married,Star,2020-09-15,2021-12-31,4095.2,Standard,Non-Zero Income,472,Active
632793,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,High School or Below,20079.0,Single,Star,2019-06-21,2021-12-31,4097.37,Standard,Non-Zero Income,924,Active
912220,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,High School or Below,20079.0,Single,Star,2016-08-18,2017-04-18,4097.37,Standard,Non-Zero Income,243,Inactive
382197,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,51193.0,Married,Star,2020-10-30,2021-06-30,4100.47,Standard,Non-Zero Income,243,Inactive
705196,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Single,Star,2016-11-26,2021-12-31,4101.94,Standard,Zero Income,1861,Active
123094,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,82427.0,Married,Star,2021-01-16,2021-12-31,4103.85,Standard,Non-Zero Income,349,Active
821515,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Bachelor,39492.0,Married,Star,2021-03-12,2021-12-31,4105.58,2021 Promotion,Non-Zero Income,294,Active
119488,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,College,0.0,Single,Star,2020-06-27,2021-12-31,4108.26,Standard,Zero Income,552,Active
287750,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,College,0.0,Single,Star,2015-08-21,2021-12-31,4109.31,Standard,Zero Income,2324,Active
735846,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,86657.0,Married,Star,2015-08-31,2021-12-31,4109.79,Standard,Non-Zero Income,2314,Active
606026,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,31842.0,Single,Star,2018-07-24,2021-12-31,4110.62,Standard,Non-Zero Income,1256,Active
460291,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,32210.0,Divorced,Star,2018-09-02,2021-12-31,4111.2,Standard,Non-Zero Income,1216,Active
743001,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,65085.0,Married,Star,2020-05-14,2021-12-31,4111.89,Standard,Non-Zero Income,596,Active
869799,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Bachelor,65085.0,Married,Star,2018-03-17,2021-12-31,4111.89,Standard,Non-Zero Income,1385,Active
520321,Ontario,London,42.984924,-81.245277,M5B 3E4,Doctor,25030.0,Married,Star,2018-09-12,2019-05-12,4112.84,Standard,Non-Zero Income,242,Inactive
170585,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,69379.0,Single,Star,2016-08-28,2021-12-31,4118.59,Standard,Non-Zero Income,1951,Active
188340,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,69379.0,Single,Star,2020-04-22,2021-12-31,4118.59,Standard,Non-Zero Income,618,Active
670817,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,69379.0,Single,Star,2019-12-16,2021-12-31,4118.59,Standard,Non-Zero Income,746,Active
509513,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Single,Star,2015-12-09,2021-12-31,4121.25,Standard,Zero Income,2214,Active
779247,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,75272.0,Married,Star,2015-09-19,2021-12-31,4122.57,Standard,Non-Zero Income,2295,Active
111255,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,High School or Below,24732.0,Married,Star,2016-03-02,2021-12-31,4122.96,Standard,Non-Zero Income,2130,Active
763061,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,34080.0,Married,Star,2017-04-04,2021-12-31,4126.61,Standard,Non-Zero Income,1732,Active
509108,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Single,Star,2021-04-13,2021-12-31,4132.59,2021 Promotion,Zero Income,262,Active
428919,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,35945.0,Divorced,Star,2018-07-25,2021-12-31,4139.9,Standard,Non-Zero Income,1255,Active
139863,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,48263.0,Married,Star,2018-10-10,2021-12-31,4142.56,Standard,Non-Zero Income,1178,Active
695755,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,64478.0,Married,Star,2015-04-03,2021-12-31,4144.87,Standard,Non-Zero Income,2464,Active
355331,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,College,0.0,Divorced,Star,2016-07-07,2021-12-31,4145.02,Standard,Zero Income,2003,Active
578837,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,College,0.0,Single,Star,2015-05-07,2021-12-31,4152.65,Standard,Zero Income,2430,Active
603248,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Married,Star,2019-02-10,2019-10-10,4157.7,Standard,Zero Income,242,Inactive
467182,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,96263.0,Married,Star,2016-12-25,2021-10-22,4160.02,Standard,Non-Zero Income,1762,Inactive
601407,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,55897.0,Married,Star,2018-09-13,2021-12-31,4165.17,Standard,Non-Zero Income,1205,Active
700871,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Bachelor,58299.0,Married,Star,2018-12-26,2021-12-31,4165.25,Standard,Non-Zero Income,1101,Active
203809,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,High School or Below,17161.0,Married,Star,2015-07-02,2021-12-31,4165.35,Standard,Non-Zero Income,2374,Active
705589,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,College,0.0,Single,Star,2015-05-22,2021-12-31,4165.99,Standard,Zero Income,2415,Active
746060,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,College,0.0,Married,Star,2017-04-20,2021-12-31,4167.09,Standard,Zero Income,1716,Active
